title,score
Groundhog Day,6.8191641771460105
Kick-Ass,6.814225282240522
Wreck-It Ralph,6.810880749466044
Hot Fuzz,6.80449006659687
The Big Short,6.800501236081837
Star Wars: Episode III - Revenge of the Sith,6.7888365233908035
Children of Men,6.784992120243055
Ant-Man,6.783769718449187
Sherlock Holmes,6.780528140928699
Ice Age,6.774686272233416
Midnight in Paris,6.771979990303574
The Age of Adaline,6.771979990303574
(500) Days of Summer,6.770548286706774
The Maze Runner,6.768503369889061
The Hunger Games,6.7684973696918735
Pirates of the Caribbean: Dead Man's Chest,6.764418750335695
The Bourne Supremacy,6.763273190135567
Blood Diamond,6.760972033519008
Pitch Perfect,6.756486071101532
300,6.755836994891038
Sin City,6.750352849136354
Argo,6.7478519395746765
The Social Network,6.745697057956591
Skyfall,6.7427188209436375
Despicable Me 2,6.74226274745625
Bridge of Spies,6.739369474573257
Maleficent,6.736525668552382
Predator,6.735195654188889
Mission: Impossible - Rogue Nation,6.734009204108367
Southpaw,6.731435498253239
American Psycho,6.73128987677446
The Butterfly Effect,6.7304145790268315
Rise of the Planet of the Apes,6.730178839667314
Zodiac,6.724956801905578
The Girl with the Dragon Tattoo,6.72330497960823
Sicario,6.721288124031167
The Equalizer,6.713389574091937
Back to the Future Part III,6.708983664291363
Sherlock Holmes: A Game of Shadows,6.708449478526693
Creed,6.708410559726701
Lost in Translation,6.7052413871747465
The Last Samurai,6.7052413871747465
Indiana Jones and the Temple of Doom,6.698910723227736
Saw,6.693677454971708
Source Code,6.691662228341826
Monsters University,6.6889997381630515
Scott Pilgrim vs. the World,6.686269850388003
Minority Report,6.683305189564186
I Am Legend,6.678056639100667
Iron Man 3,6.677750572590114
22 Jump Street,6.676396671748982
Silver Linings Playbook,6.674312837347001
Divergent,6.671570460958902
Fast Five,6.6667402943780285
Pirates of the Caribbean: At World's End,6.665696105464818
The Secret Life of Walter Mitty,6.665030546499318
Home Alone,6.664295032188457
Men in Black,6.662397317752176
The Devil Wears Prada,6.661222839168196
Corpse Bride,6.654337207930071
The Man from U.N.C.L.E.,6.648473995924892
The Hurt Locker,6.646326716745922
Watchmen,6.641039315799501
Nerve,6.6390377157979295
127 Hours,6.624482088668483
Spider-Man,6.616810005754737
"Crazy, Stupid, Love.",6.61018549887378
Rise of the Guardians,6.6072886381444
Gangs of New York,6.605711288784068
Thor: The Dark World,6.602640245530106
Les Misérables,6.60225881014351
Kung Fu Panda,6.601988239932215
The Intern,6.601857341205086
Juno,6.591183665216098
X-Men,6.580760891410554
Hugo,6.580602149790973
Troy,6.576967023726063
Superbad,6.576236084419612
Mission: Impossible - Ghost Protocol,6.576044367836672
Batman,6.575805254899909
The Impossible,6.5680095757307555
The Conjuring 2,6.559341024153298
X2,6.556516764253836
The Terminal,6.554756214619091
Love Actually,6.549832280001673
World War Z,6.54896304537173
Mean Girls,6.54286461015732
The Simpsons Movie,6.537989517082245
Pacific Rim,6.531519238115645
We're the Millers,6.529487816996134
Brave,6.5275408517576015
American Hustle,6.519879492590132
Die Hard: With a Vengeance,6.51963123524183
Spider-Man 2,6.5185810622590195
21 Jump Street,6.511001994939145
Unbreakable,6.507570075805464
Hotel Transylvania,6.504551856070793
Snow White and the Seven Dwarfs,6.5042234822722
"I, Robot",6.501571224718223
10 Cloverfield Lane,6.497828393757709
Charlie and the Chocolate Factory,6.49543208019885
Captain America: The First Avenger,6.494929681823914
The Croods,6.492907961221079
Iron Man 2,6.492534958086217
The Matrix Reloaded,6.4884212888397395
Thor,6.4883717381541235
In Time,6.487374547109297
A Bug's Life,6.485789393653886
Non-Stop,6.483111288446864
Independence Day,6.480826964317865
Now You See Me 2,6.4797469536953916
The Hunger Games: Mockingjay - Part 1,6.474219685664771
Shrek 2,6.468475094247928
The Jungle Book,6.463776466023635
Snowpiercer,6.461863480282627
A.I. Artificial Intelligence,6.458673852396968
Looper,6.457148482859228
Pitch Perfect 2,6.455602422951038
Mission: Impossible,6.449981696621068
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.449869766503604
Focus,6.444901879937495
Transformers,6.441182667882111
The Hunger Games: Mockingjay - Part 2,6.439655158504775
Cars,6.436653286712777
Cinderella,6.434727992326987
Jurassic World,6.428597786263209
Easy A,6.423981868115355
The Fast and the Furious,6.422726757344334
Madagascar,6.416055521708278
The Adventures of Tintin,6.413434937395036
The Amazing Spider-Man,6.411002349707777
Chappie,6.409486612292507
Man of Steel,6.408537852840925
Cloud Atlas,6.406123726975578
Megamind,6.402525874475082
Kung Fu Panda 2,6.39948585275339
RED,6.399072011638731
Real Steel,6.393927290057876
Star Trek Beyond,6.388128221422976
Underworld,6.385400927472922
The Mask,6.383409473570481
Super 8,6.381534187035662
King Kong,6.376406618498395
The Amazing Spider-Man 2,6.375402697988865
Ender's Game,6.374570965103154
The Book of Eli,6.36674200351744
50 First Dates,6.3632520654456055
Rango,6.359965083272021
The Purge: Anarchy,6.3538255972150095
Dredd,6.352913454075323
Chronicle,6.352586048359093
The Italian Job,6.351532494511684
Die Hard 2,6.350002194429681
Mr. & Mrs. Smith,6.3439122694087935
Ice Age: The Meltdown,6.343456005946089
The Da Vinci Code,6.334943685029545
Flight,6.323728827497579
Horrible Bosses,6.317817999435826
Ice Age: Dawn of the Dinosaurs,6.317552001479097
The Cabin in the Woods,6.31719612690257
Pirates of the Caribbean: On Stranger Tides,6.316610897512407
Friends with Benefits,6.316029885380134
Hellboy,6.315486586326279
Oblivion,6.314751776765215
X-Men: Apocalypse,6.313725065536208
Rio,6.312768003915243
Alice in Wonderland,6.312713729660087
Minions,6.311705962317565
Angels & Demons,6.31102187701724
Mission: Impossible III,6.306085297661443
Ocean's Thirteen,6.304619845436546
Star Wars: Episode II - Attack of the Clones,6.302937739242282
Blade,6.299713681380084
Dumb and Dumber,6.2972218842641325
Elysium,6.29276692971505
The Matrix Revolutions,6.285312944811569
Maze Runner: The Scorch Trials,6.283996432206912
Bruce Almighty,6.283326776117063
Warm Bodies,6.273972963405978
Wanted,6.2703939618171045
Armageddon,6.269014025293538
American Pie,6.263121177166747
Cloverfield,6.26161495448677
Ocean's Twelve,6.257179536361347
Live Free or Die Hard,6.255906756347253
Resident Evil,6.255020801065278
Lucy,6.250485743984008
National Treasure,6.24966746224583
White House Down,6.248256608268944
Prometheus,6.244774542506677
Ted,6.2415381147103774
Spectre,6.23939600832406
Star Wars: Episode I - The Phantom Menace,6.239067395202571
The Wolverine,6.23514753621859
X-Men: The Last Stand,6.228763134369654
Jack Reacher,6.221000784649368
Night at the Museum,6.2187150444383885
TRON: Legacy,6.218350257485618
Home Alone 2: Lost in New York,6.2097482389753385
This Is the End,6.208974173268738
Warcraft,6.2069569927133745
Kick-Ass 2,6.20594924056671
Men in Black 3,6.166952553160543
X-Men Origins: Wolverine,6.1661685829399255
Insurgent,6.165022443250557
The Hangover Part II,6.164458026119375
Olympus Has Fallen,6.15886794930452
Hancock,6.158696544334333
Tomorrowland,6.1576825623085565
Neighbors,6.156445971542427
Ice Age: Continental Drift,6.156050060943198
The Lost World: Jurassic Park,6.154170295204652
Ted 2,6.1539145847580325
The Day After Tomorrow,6.1531411201962465
Dracula Untold,6.15310786650854
War of the Worlds,6.152352705239449
Prince of Persia: The Sands of Time,6.152295373460606
Salt,6.149577299404335
Riddick,6.148822273681572
2 Fast 2 Furious,6.148729617959395
The 40 Year Old Virgin,6.148125868759669
Transformers: Dark of the Moon,6.097198620874023
The Incredible Hulk,6.097038357591102
Quantum of Solace,6.097003829553691
The Expendables 2,6.0969601628248995
Taken 2,6.09686821492758
The Twilight Saga: Breaking Dawn - Part 2,6.096722729625678
300: Rise of an Empire,6.096602019851301
The Interview,6.09652573263765
Taken 3,6.0964362606176214
John Carter,6.0963679070457815
Paper Towns,6.096188005212216
Underworld: Awakening,6.096110743400227
Night at the Museum: Secret of the Tomb,6.096099147524855
Shrek Forever After,6.0446221611834945
Percy Jackson & the Olympians: The Lightning Thief,6.0440308166713965
Click,6.042980974756038
The Mummy Returns,6.041896992107161
Shrek the Third,6.0411641713337385
The Purge,6.039716902981015
The Bourne Legacy,6.037744062653852
The Expendables,6.035565484610486
San Andreas,6.035254700998294
Men in Black II,6.034215369291294
Transformers: Revenge of the Fallen,6.034050356659071
Mission: Impossible II,5.993799966779472
Night at the Museum: Battle of the Smithsonian,5.992741165243398
Allegiant,5.992088467020697
Terminator 3: Rise of the Machines,5.988734664911389
Transcendence,5.985471571800019
The Lone Ranger,5.985141995198873
Jason Bourne,5.984530840522133
Terminator Salvation,5.982133304244711
The Secret Life of Pets,5.966653119552903
Spider-Man 3,5.9652497404843015
Cars 2,5.938742624083846
Suicide Squad,5.938002688662085
The Twilight Saga: Eclipse,5.929759915658839
Teenage Mutant Ninja Turtles,5.920044742284597
Transformers: Age of Extinction,5.9088758655041556
Snow White and the Huntsman,5.908370630876886
Twilight,5.8994792374853136
Terminator Genisys,5.898206054572386
Jurassic Park III,5.884136536465802
Lara Croft: Tomb Raider,5.878882541404874
